condition,sentence,prefix,suffix,target_llm,critical_word,cloze_percent,cloze_prob,zero_cloze,cloze_surprisal_raw,cloze_surprisal_smoothed,ITEM
MC,"It was her birthday, so he bought the red balloon for the child.","It was her birthday, so he bought the red",for the child., balloon,balloon,8.0,0.08,False,3.643856189774725,3.643856189774725,11
LC,The woman at the store was buying the red balloon for the child.,The woman at the store was buying the red,for the child., balloon,balloon,0.0,0.0,True,inf,19.931568569324174,11
HC,The hungry monkey was trying to peel the banana at breakfast.,The hungry monkey was trying to peel the,at breakfast., banana,banana,96.0,0.96,False,0.058893689053568565,0.058893689053568565,12
MC,"Because of fruit flies, he threw away the banana at breakfast.","Because of fruit flies, he threw away the",at breakfast., banana,banana,22.0,0.22,False,2.1844245711374275,2.1844245711374275,12
LC,My picky younger brother refused to eat the banana at breakfast.,My picky younger brother refused to eat the,at breakfast., banana,banana,1.0,0.01,False,6.643856189774724,6.643856189774724,12
HC,"Jenna loved playing the guitar, so she decided to join the band that she admired.","Jenna loved playing the guitar, so she decided to join the",that she admired., band,band,93.0,0.93,False,0.10469737866669324,0.10469737866669324,13
MC,On her eighteenth birthday her parents got her tickets see the band that she admired.,On her eighteenth birthday her parents got her tickets see the,that she admired., band,band,17.0,0.17,False,2.5563933485243853,2.5563933485243853,13
LC,"After several rounds of auditions, she never heard back from the band that she admired.","After several rounds of auditions, she never heard back from the",that she admired., band,band,0.0,0.0,True,inf,19.931568569324174,13
HC,The neighborhood dog always kept her awake by barking through the night.,The neighborhood dog always kept her awake by,through the night., barking,barking,91.0,0.91,False,0.13606154957602837,0.13606154957602837,14
MC,Our pets sometimes ask us for treats by barking through the night.,Our pets sometimes ask us for treats by,through the night., barking,barking,22.0,0.22,False,2.1844245711374275,2.1844245711374275,14
LC,They knew that Harry kept her awake by barking through the night.,They knew that Harry kept her awake by,through the night., barking,barking,0.0,0.0,True,inf,19.931568569324174,14
HC,"Instead of a shower, she decided to take a bath at home.","Instead of a shower, she decided to take a",at home., bath,bath,97.0,0.97,False,0.043943347587597055,0.043943347587597055,15
MC,"To relax after work, Bill decided to take a bath at home.","To relax after work, Bill decided to take a",at home., bath,bath,18.0,0.18,False,2.473931188332412,2.473931188332412,15
LC,"That weekend, their interior decorator helped them install a bath at home.","That weekend, their interior decorator helped them install a",at home., bath,bath,2.0,0.02,False,5.643856189774724,5.643856189774724,15
HC,My son saw the bird pecking at the soil using its beak and claws.,My son saw the bird pecking at the soil using its,and claws., beak,beak,97.0,0.97,False,0.043943347587597055,0.043943347587597055,16
MC,The bald eagle was trying to attack the hunters using its beak and claws.,The bald eagle was trying to attack the hunters using its,and claws., beak,beak,29.0,0.29,False,1.7858751946471527,1.7858751946471527,16
LC,The animal in the zoo enclosure was trying to clean its beak and claws.,The animal in the zoo enclosure was trying to clean its,and claws., beak,beak,0.0,0.0,True,inf,19.931568569324174,16
HC,I asked the maid to change the sheets on the bed in the guestroom.,I asked the maid to change the sheets on the,in the guestroom., bed,bed,99.0,0.99,False,0.014499569695115089,0.014499569695115089,17
MC,The chief of police found the suicide note on the bed in the guestroom.,The chief of police found the suicide note on the,in the guestroom., bed,bed,11.0,0.11,False,3.1844245711374275,3.1844245711374275,17
LC,There was a large pile of dirty towels on the bed in the guestroom.,There was a large pile of dirty towels on the,in the guestroom., bed,bed,0.0,0.0,True,inf,19.931568569324174,17
HC,The honey was produced by a hive of bees in the yard.,The honey was produced by a hive of,in the yard., bees,bees,99.0,0.99,False,0.014499569695115089,0.014499569695115089,18
MC,She is deathly allergic to those types of bees in the yard.,She is deathly allergic to those types of,in the yard., bees,bees,14.0,0.14,False,2.8365012677171206,2.8365012677171206,18
LC,The people outside were avoiding the group of bees in the yard.,The people outside were avoiding the group of,in the yard., bees,bees,1.0,0.01,False,6.643856189774724,6.643856189774724,18
HC,"To wash your clothes whiter, you should add a little bleach to the water.","To wash your clothes whiter, you should add a little",to the water., bleach,bleach,90.0,0.9,False,0.15200309344504995,0.15200309344504995,19
MC,"To kill all the bacteria, you should add a little bleach to the water.","To kill all the bacteria, you should add a little",to the water., bleach,bleach,21.0,0.21,False,2.2515387669959646,2.2515387669959646,19
LC,"To prepare the next sample, you should add a little bleach to the water.","To prepare the next sample, you should add a little",to the water., bleach,bleach,0.0,0.0,True,inf,19.931568569324174,19
HC,The murderer's knife and clothes were covered in blood from the killings.,The murderer's knife and clothes were covered in,from the killings., blood,blood,96.0,0.96,False,0.058893689053568565,0.058893689053568565,20
MC,The cafeteria in the prison was covered in blood from the killings.,The cafeteria in the prison was covered in,from the killings., blood,blood,12.0,0.12,False,3.0588936890535687,3.0588936890535687,20
LC,The woman's counter and refrigerator were covered in blood from the killings.,The woman's counter and refrigerator were covered in,from the killings., blood,blood,4.0,0.04,False,4.643856189774724,4.643856189774724,20
HC,My favorite part of Spring is when the flowers begin to bloom out back.,My favorite part of Spring is when the flowers begin to,out back., bloom,bloom,88.0,0.88,False,0.18442457113742744,0.18442457113742744,21
MC,The weather's been so nice that the plants have started to bloom out back.,The weather's been so nice that the plants have started to,out back., bloom,bloom,34.0,0.34,False,1.5563933485243853,1.5563933485243853,21
LC,We started watering the yard because the plants had begun to bloom out back.,We started watering the yard because the plants had begun to,out back., bloom,bloom,0.0,0.0,True,inf,19.931568569324174,21
HC,"Following his orders, the terrorist threatened to drop the bomb made of TNT.","Following his orders, the terrorist threatened to drop the",made of TNT., bomb,bomb,89.0,0.89,False,0.16812275880832692,0.16812275880832692,22
MC,"To destroy the building, they decided to use the bomb made of TNT.","To destroy the building, they decided to use the",made of TNT., bomb,bomb,11.0,0.11,False,3.1844245711374275,3.1844245711374275,22
LC,Jonathan was shocked that they decided to use the bomb made of TNT.,Jonathan was shocked that they decided to use the,made of TNT., bomb,bomb,0.0,0.0,True,inf,19.931568569324174,22
HC,The author signed a copy of her new book at the bookstore.,The author signed a copy of her new book at the,store., book,book,88.0,0.88,False,0.18442457113742744,0.18442457113742744,23
MC,The unsuccessful student went to buy a new book at the bookstore.,The unsuccessful student went to buy a new book at the,store., book,book,31.0,0.31,False,1.6896598793878495,1.6896598793878495,23
LC,The landlord who lived downstairs bought a new book at the bookstore.,The landlord who lived downstairs bought a new book at the,store., book,book,0.0,0.0,True,inf,19.931568569324174,23
HC,The immigrant left Mexico and tried to cross the border into Texas.,The immigrant left Mexico and tried to cross the,into Texas., border,border,98.0,0.98,False,0.029146345659516508,0.029146345659516508,24
MC,There were lots of intimidating guards stationed at the border into Texas.,There were lots of intimidating guards stationed at the,into Texas., border,border,8.0,0.08,False,3.643856189774725,3.643856189774725,24
LC,The kids were scared about trying to cross the border into Texas.,The kids were scared about trying to cross the,into Texas., border,border,1.0,0.01,False,6.643856189774724,6.643856189774724,24
HC,"Because the work was repetitive, he thought it was boring and dull.","Because the work was repetitive, he thought it was",and dull., boring,boring,77.0,0.77,False,0.3770696490798233,0.3770696490798233,25
MC,"He visited the museum, and he thought it was boring and dull.","He visited the museum, and he thought it was",and dull., boring,boring,15.0,0.15,False,2.736965594166206,2.736965594166206,25
LC,"He visited the catacombs, and he thought it was boring and dull.","He visited the catacombs, and he thought it was",and dull., boring,boring,0.0,0.0,True,inf,19.931568569324174,25
HC,The archer pulled back the string of his bow and fired.,The archer pulled back the string of his,and fired., bow,bow,95.0,0.95,False,0.07400058144377693,0.07400058144377693,26
MC,"While facing the target, he picked up his bow and fired.","While facing the target, he picked up his",and fired., bow,bow,24.0,0.24,False,2.0588936890535687,2.0588936890535687,26
LC,"On television, the Olympic athlete picked up his bow and fired.","On television, the Olympic athlete picked up his",and fired., bow,bow,0.0,0.0,True,inf,19.931568569324174,26
HC,Jan poured the milk and cereal into her bowl at breakfast time.,Jan poured the milk and cereal into her,at breakfast time., bowl,bowl,98.0,0.98,False,0.029146345659516508,0.029146345659516508,27
MC,The waiter accidentally dropped her spoon and her bowl at breakfast time.,The waiter accidentally dropped her spoon and her,at breakfast time., bowl,bowl,12.0,0.12,False,3.0588936890535687,3.0588936890535687,27
LC,Jan was walking and she accidentally dropped her bowl at breakfast time.,Jan was walking and she accidentally dropped her,at breakfast time., bowl,bowl,0.0,0.0,True,inf,19.931568569324174,27
HC,"Instead of the accelerator, Maria stepped on the brake all of a sudden.","Instead of the accelerator, Maria stepped on the",all of a sudden., brake,brake,92.0,0.92,False,0.12029423371771177,0.12029423371771177,28
MC,My passengers jumped when I stepped on the brake all of a sudden.,My passengers jumped when I stepped on the,all of a sudden., brake,brake,30.0,0.3,False,1.7369655941662063,1.7369655941662063,28
LC,We were surprised when Maria stepped on the brake all of a sudden.,We were surprised when Maria stepped on the,all of a sudden., brake,brake,0.0,0.0,True,inf,19.931568569324174,28
HC,Laurence got some yeast to bake his own bread from scratch.,Laurence got some yeast to bake his own,from scratch., bread,bread,82.0,0.82,False,0.2863041851566411,0.2863041851566411,29
MC,Laurence needed some advice before baking his own bread from scratch.,Laurence needed some advice before baking his own,from scratch., bread,bread,14.0,0.14,False,2.8365012677171206,2.8365012677171206,29
LC,Laurence woke up early to make his own bread from scratch.,Laurence woke up early to make his own,from scratch., bread,bread,0.0,0.0,True,inf,19.931568569324174,29
HC,They got a loan to start their own small business in Wichita.,They got a loan to start their own small,in Wichita., business,business,95.0,0.95,False,0.07400058144377693,0.07400058144377693,30
MC,My roommate was hoping to build his own small business in Wichita.,My roommate was hoping to build his own small,in Wichita., business,business,15.0,0.15,False,2.736965594166206,2.736965594166206,30
LC,They needed some land to build their own small business in Wichita.,They needed some land to build their own small,in Wichita., business,business,1.0,0.01,False,6.643856189774724,6.643856189774724,30
HC,The birthday boy didn't want frosting on his slice of cake after all.,The birthday boy didn't want frosting on his slice of,after all., cake,cake,99.0,0.99,False,0.014499569695115089,0.014499569695115089,31
MC,The hungry student decided to buy a small piece of cake after all.,The hungry student decided to buy a small piece of,after all., cake,cake,26.0,0.26,False,1.9434164716336324,1.9434164716336324,31
LC,My wife said that she didn't like that kind of cake after all.,My wife said that she didn't like that kind of,after all., cake,cake,0.0,0.0,True,inf,19.931568569324174,31
HC,The cow gave birth to the brown calf in the barn.,The cow gave birth to the brown,in the barn., calf,calf,90.0,0.9,False,0.15200309344504995,0.15200309344504995,32
MC,The farmer gave milk to the brown calf in the barn.,The farmer gave milk to the brown,in the barn., calf,calf,9.0,0.09,False,3.473931188332412,3.473931188332412,32
LC,Bill went to check on the brown calf in the barn.,Bill went to check on the brown,in the barn., calf,calf,0.0,0.0,True,inf,19.931568569324174,32
HC,The boy scouts hurried back to set up camp after the storm lifted.,The boy scouts hurried back to set up,after the storm lifted., camp,camp,75.0,0.75,False,0.4150374992788438,0.4150374992788438,33
MC,The cheerful woman hurried over to set up camp after the storm lifted.,The cheerful woman hurried over to set up,after the storm lifted., camp,camp,7.0,0.07,False,3.8365012677171206,3.8365012677171206,33
LC,We watched my nephew try to set up camp after the storm lifted.,We watched my nephew try to set up,after the storm lifted., camp,camp,2.0,0.02,False,5.643856189774724,5.643856189774724,33
HC,"On Halloween, the costumed children grabbed several pieces of candy with nuts.","On Halloween, the costumed children grabbed several pieces of",with nuts., candy,candy,95.0,0.95,False,0.07400058144377693,0.07400058144377693,34
MC,"While touring the factory, Bill sampled several pieces of candy with nuts.","While touring the factory, Bill sampled several pieces of",with nuts., candy,candy,24.0,0.24,False,2.0588936890535687,2.0588936890535687,34
LC,The food scientists were developing a new type of candy with nuts.,The food scientists were developing a new type of,with nuts., candy,candy,1.0,0.01,False,6.643856189774724,6.643856189774724,34
HC,The cashier asked the customer to swipe his card once again.,The cashier asked the customer to swipe his,once again., card,card,100.0,1.0,False,-0.0,-0.0,35
MC,Johnathan told the banker that he'd lost his card once again.,Johnathan told the banker that he'd lost his,once again., card,card,26.0,0.26,False,1.9434164716336324,1.9434164716336324,35
LC,"At security, the guards needed to inspect his card once again.","At security, the guards needed to inspect his",once again., card,card,0.0,0.0,True,inf,19.931568569324174,35
HC,"In the cartoon, Bugs Bunny was munching on a carrot that looked wilted.","In the cartoon, Bugs Bunny was munching on a",that looked wilted., carrot,carrot,98.0,0.98,False,0.029146345659516508,0.029146345659516508,36
MC,The cook was chopping up the parsley and a carrot that looked wilted.,The cook was chopping up the parsley and a,that looked wilted., carrot,carrot,34.0,0.34,False,1.5563933485243853,1.5563933485243853,36
LC,In the door of his refrigerator he found a carrot that looked wilted.,In the door of his refrigerator he found a,that looked wilted., carrot,carrot,0.0,0.0,True,inf,19.931568569324174,36
HC,"At Costco, the toddler wanted to push the cart near the tall shelves.","At Costco, the toddler wanted to push the",near the tall shelves., cart,cart,90.0,0.9,False,0.15200309344504995,0.15200309344504995,37
MC,The grocery store employee had to retrieve the cart near the tall shelves.,The grocery store employee had to retrieve the,near the tall shelves., cart,cart,14.0,0.14,False,2.8365012677171206,2.8365012677171206,37
LC,"At work, the assistant needed to find the cart near the tall shelves.","At work, the assistant needed to find the",near the tall shelves., cart,cart,0.0,0.0,True,inf,19.931568569324174,37
HC,The biologist knew that there were bats living in the cave in the woods.,The biologist knew that there were bats living in the,in the woods., cave,cave,82.0,0.82,False,0.2863041851566411,0.2863041851566411,38
MC,The biologist knew that there were bears living in the cave in the woods.,The biologist knew that there were bears living in the,in the woods., cave,cave,12.0,0.12,False,3.0588936890535687,3.0588936890535687,38
LC,The police knew that there were people living in the cave in the woods.,The police knew that there were people living in the,in the woods., cave,cave,1.0,0.01,False,6.643856189774724,6.643856189774724,38
HC,DNA is housed within the nucleus of a cell in a living organism.,DNA is housed within the nucleus of a,in a living organism., cell,cell,80.0,0.8,False,0.3219280948873623,0.3219280948873623,39
MC,The scientists were extracting the DNA from a cell in a living organism.,The scientists were extracting the DNA from a,in a living organism., cell,cell,13.0,0.13,False,2.9434164716336326,2.9434164716336326,39
LC,"In his textbook, there's a drawing of a cell in a living organism.","In his textbook, there's a drawing of a",in a living organism., cell,cell,3.0,0.03,False,5.058893689053568,5.058893689053568,39
HC,The teacher walked up to the board and grabbed a piece of chalk at home.,The teacher walked up to the board and grabbed a piece of,at home., chalk,chalk,91.0,0.91,False,0.13606154957602837,0.13606154957602837,40
MC,"After decades, the instructor decided to switch to a new brand of chalk at home.","After decades, the instructor decided to switch to a new brand of",at home., chalk,chalk,11.0,0.11,False,3.1844245711374275,3.1844245711374275,40
LC,"While searching around in the garage, the man found a piece of chalk at home.","While searching around in the garage, the man found a piece of",at home., chalk,chalk,0.0,0.0,True,inf,19.931568569324174,40
HC,The checkmate abruptly ended their game of chess at Victor's house.,The checkmate abruptly ended their game of,at Victor's house., chess,chess,97.0,0.97,False,0.043943347587597055,0.043943347587597055,41
MC,The two Russians played another round of chess at Victor's house.,The two Russians played another round of,at Victor's house., chess,chess,14.0,0.14,False,2.8365012677171206,2.8365012677171206,41
LC,They were learning another important rule of chess at Victor's house.,They were learning another important rule of,at Victor's house., chess,chess,0.0,0.0,True,inf,19.931568569324174,41
HC,Santa lands on the roof and comes down through the chimney of the house.,Santa lands on the roof and comes down through the,of the house., chimney,chimney,99.0,0.99,False,0.014499569695115089,0.014499569695115089,42
MC,The firefighter noticed there was smoke coming out of the chimney of the house.,The firefighter noticed there was smoke coming out of the,of the house., chimney,chimney,16.0,0.16,False,2.643856189774725,2.643856189774725,42
LC,"Every Spring, my family cleans out the basement and the chimney of the house.","Every Spring, my family cleans out the basement and the",of the house., chimney,chimney,0.0,0.0,True,inf,19.931568569324174,42
HC,The soprano auditioned for the church choir in the evening.,The soprano auditioned for the church,in the evening., choir,choir,93.0,0.93,False,0.10469737866669324,0.10469737866669324,43
MC,"Every Easter, they heard the church choir in the evening.","Every Easter, they heard the church",in the evening., choir,choir,10.0,0.1,False,3.321928094887362,3.321928094887362,43
LC,Elizabeth didn't like to attend church choir in the evening.,Elizabeth didn't like to attend church,in the evening., choir,choir,2.0,0.02,False,5.643856189774724,5.643856189774724,43
HC,"At storytime, the preschoolers have to sit in a circle on the rug.","At storytime, the preschoolers have to sit in a",on the rug., circle,circle,80.0,0.8,False,0.3219280948873623,0.3219280948873623,44
MC,The girl decided to arrange her dolls in a circle on the rug.,The girl decided to arrange her dolls in a,on the rug., circle,circle,14.0,0.14,False,2.8365012677171206,2.8365012677171206,44
LC,All of the fifth-graders had to get in a circle on the rug.,All of the fifth-graders had to get in a,on the rug., circle,circle,1.0,0.01,False,6.643856189774724,6.643856189774724,44
HC,"Above the doorway, he heard the ticking of the old clock on the wall.","Above the doorway, he heard the ticking of the old",on the wall., clock,clock,93.0,0.93,False,0.10469737866669324,0.10469737866669324,45
MC,"In the den, they replaced the battery in the old clock on the wall.","In the den, they replaced the battery in the old",on the wall., clock,clock,17.0,0.17,False,2.5563933485243853,2.5563933485243853,45
LC,"After their trip, they replaced the battery in the old clock on the wall.","After their trip, they replaced the battery in the old",on the wall., clock,clock,3.0,0.03,False,5.058893689053568,5.058893689053568,45
HC,"In a few weeks, the butterfly will emerge from the cocoon made of silk.","In a few weeks, the butterfly will emerge from the",made of silk., cocoon,cocoon,91.0,0.91,False,0.13606154957602837,0.13606154957602837,46
MC,The caterpillar was trying its best to escape from the cocoon made of silk.,The caterpillar was trying its best to escape from the,made of silk., cocoon,cocoon,19.0,0.19,False,2.395928676331139,2.395928676331139,46
LC,The biologist used the microscope to see inside of the cocoon made of silk.,The biologist used the microscope to see inside of the,made of silk., cocoon,cocoon,0.0,0.0,True,inf,19.931568569324174,46
HC,Melissa asks for decaf when ordering her cup of coffee at the restaurant.,Melissa asks for decaf when ordering her cup of,at the restaurant., coffee,coffee,96.0,0.96,False,0.058893689053568565,0.058893689053568565,47
MC,The customer left without finishing his last sip of coffee at the restaurant.,The customer left without finishing his last sip of,at the restaurant., coffee,coffee,38.0,0.38,False,1.3959286763311392,1.3959286763311392,47
LC,Melissa has difficulty when she's picking a type of coffee at the restaurant.,Melissa has difficulty when she's picking a type of,at the restaurant., coffee,coffee,0.0,0.0,True,inf,19.931568569324174,47
HC,We had to guess heads or tails when the referee flipped the coin in Dallas.,We had to guess heads or tails when the referee flipped the,in Dallas., coin,coin,98.0,0.98,False,0.029146345659516508,0.029146345659516508,48
MC,"Because it was rare, he could get some money from selling the coin in Dallas.","Because it was rare, he could get some money from selling the",in Dallas., coin,coin,22.0,0.22,False,2.1844245711374275,2.1844245711374275,48
LC,"He was carrying so much stuff in his hands, he dropped the coin in Dallas.","He was carrying so much stuff in his hands, he dropped the",in Dallas., coin,coin,0.0,0.0,True,inf,19.931568569324174,48
HC,The boy scout navigated using a map and a compass in his bag.,The boy scout navigated using a map and a,in his bag., compass,compass,96.0,0.96,False,0.058893689053568565,0.058893689053568565,49
MC,My brother always carried a pocket knife and a compass in his bag.,My brother always carried a pocket knife and a,in his bag., compass,compass,13.0,0.13,False,2.9434164716336326,2.9434164716336326,49
LC,The boyscout always carried a first-aid kit and a compass in his bag.,The boyscout always carried a first-aid kit and a,in his bag., compass,compass,2.0,0.02,False,5.643856189774724,5.643856189774724,49
HC,Lauren turned on the TV and flopped down on the couch in the den.,Lauren turned on the TV and flopped down on the,in the den., couch,couch,77.0,0.77,False,0.3770696490798233,0.3770696490798233,50
MC,They were worried that the cat would tear up the couch in the den.,They were worried that the cat would tear up the,in the den., couch,couch,30.0,0.3,False,1.7369655941662063,1.7369655941662063,50
LC,"Before painting, the contractors laid down a tarp on the couch in the den.","Before painting, the contractors laid down a tarp on the",in the den., couch,couch,0.0,0.0,True,inf,19.931568569324174,50
HC,Eric sued the taxi driver and took him to court On Tuesday.,Eric sued the taxi driver and took him to,On Tuesday., court,court,95.0,0.95,False,0.07400058144377693,0.07400058144377693,51
MC,Susan was angry at Eric and took him to court On Tuesday.,Susan was angry at Eric and took him to,On Tuesday., court,court,24.0,0.24,False,2.0588936890535687,2.0588936890535687,51
LC,Eric picked up his friend and brought him to court On Tuesday.,Eric picked up his friend and brought him to,On Tuesday., court,court,0.0,0.0,True,inf,19.931568569324174,51
HC,Jesus was crucified on a large wooden cross made of oak.,Jesus was crucified on a large wooden,made of oak., cross,cross,92.0,0.92,False,0.12029423371771177,0.12029423371771177,52
MC,The nuns were praying beside the wooden cross made of oak.,The nuns were praying beside the wooden,made of oak., cross,cross,43.0,0.43,False,1.2175914350726267,1.2175914350726267,52
LC,"In the gallery, there was a wooden cross made of oak.","In the gallery, there was a wooden",made of oak., cross,cross,2.0,0.02,False,5.643856189774724,5.643856189774724,52
HC,"On the queen's head, the priest placed a golden crown with bright jewels.","On the queen's head, the priest placed a golden",with bright jewels., crown,crown,86.0,0.86,False,0.21759143507262677,0.21759143507262677,53
MC,"On the king's nightstand, the men saw a golden crown with bright jewels.","On the king's nightstand, the men saw a golden",with bright jewels., crown,crown,20.0,0.2,False,2.321928094887362,2.321928094887362,53
LC,The merchant paid for the goods with a golden crown with bright jewels.,The merchant paid for the goods with a golden,with bright jewels., crown,crown,0.0,0.0,True,inf,19.931568569324174,53
HC,The disease is fatal as there is no known cure for it.,The disease is fatal as there is no known,for it., cure,cure,96.0,0.96,False,0.058893689053568565,0.058893689053568565,54
MC,This danger is real and there is no known cure for it.,This danger is real and there is no known,for it., cure,cure,48.0,0.48,False,1.0588936890535685,1.0588936890535685,54
LC,We heard that the remote island has no known cure for it.,We heard that the remote island has no known,for it., cure,cure,0.0,0.0,True,inf,19.931568569324174,54
HC,Camels can travel across the hot sands of the desert in Algeria.,Camels can travel across the hot sands of the,in Algeria., desert,desert,94.0,0.94,False,0.08926733809708741,0.08926733809708741,55
MC,"Somehow, farmers were able to grow crops in the desert in Algeria.","Somehow, farmers were able to grow crops in the",in Algeria., desert,desert,18.0,0.18,False,2.473931188332412,2.473931188332412,55
LC,The young students learned some interesting facts about the desert in Algeria.,The young students learned some interesting facts about the,in Algeria., desert,desert,0.0,0.0,True,inf,19.931568569324174,55
HC,"Late at the office, Victor can always be found sitting at his desk near the window.","Late at the office, Victor can always be found sitting at his",near the window., desk,desk,91.0,0.91,False,0.13606154957602837,0.13606154957602837,56
MC,My friend always kept a large bag of chocolate bars in his desk near the window.,My friend always kept a large bag of chocolate bars in his,near the window., desk,desk,18.0,0.18,False,2.473931188332412,2.473931188332412,56
LC,"When I came home yesterday, I saw that Victor was fixing his desk near the window.","When I came home yesterday, I saw that Victor was fixing his",near the window., desk,desk,0.0,0.0,True,inf,19.931568569324174,56
HC,"To prevent a mess, the caregiver checked the baby's diaper for accidents.","To prevent a mess, the caregiver checked the baby's",for accidents., diaper,diaper,85.0,0.85,False,0.23446525363702297,0.23446525363702297,57
MC,"Before leaving the driveway, my wife checked the baby's diaper for accidents.","Before leaving the driveway, my wife checked the baby's",for accidents., diaper,diaper,14.0,0.14,False,2.8365012677171206,2.8365012677171206,57
LC,"Before leaving the maternity ward, someone checked the baby's diaper for accidents.","Before leaving the maternity ward, someone checked the baby's",for accidents., diaper,diaper,1.0,0.01,False,6.643856189774724,6.643856189774724,57
HC,"To take her turn at Monopoly, Helen rolled both of the dice last night.","To take her turn at Monopoly, Helen rolled both of the",last night., dice,dice,99.0,0.99,False,0.014499569695115089,0.014499569695115089,58
MC,"They weren't able to play Monopoly, because they had lost the dice last night.","They weren't able to play Monopoly, because they had lost the",last night., dice,dice,30.0,0.3,False,1.7369655941662063,1.7369655941662063,58
LC,"While cleaning out the cluttered closet, Helen found both of the dice last night.","While cleaning out the cluttered closet, Helen found both of the",last night., dice,dice,0.0,0.0,True,inf,19.931568569324174,58
HC,My medical records are accessible to the nurse and the doctor at the clinic.,My medical records are accessible to the nurse and the,at the clinic., doctor,doctor,97.0,0.97,False,0.043943347587597055,0.043943347587597055,59
MC,The young woman was inspired by the scientist and the doctor at the clinic.,The young woman was inspired by the scientist and the,at the clinic., doctor,doctor,20.0,0.2,False,2.321928094887362,2.321928094887362,59
LC,She had to be interviewed by the lawyer and the doctor at the clinic.,She had to be interviewed by the lawyer and the,at the clinic., doctor,doctor,2.0,0.02,False,5.643856189774724,5.643856189774724,59
HC,The bird typically used to symbolize peace is a white dove with outstretched wings.,The bird typically used to symbolize peace is a white,with outstretched wings., dove,dove,93.0,0.93,False,0.10469737866669324,0.10469737866669324,60
MC,"Perched up on the powerline he saw a small, white dove with outstretched wings.","Perched up on the powerline he saw a small, white",with outstretched wings., dove,dove,25.0,0.25,False,2.0,2.0,60
LC,In the corner of his eye he saw a white dove with outstretched wings.,In the corner of his eye he saw a white,with outstretched wings., dove,dove,5.0,0.05,False,4.321928094887363,4.321928094887363,60
HC,Maria thought she looked great in her little black dress with sequins.,Maria thought she looked great in her little black,with sequins., dress,dress,90.0,0.9,False,0.15200309344504995,0.15200309344504995,61
MC,"In her bedroom, she was looking for her black dress with sequins.","In her bedroom, she was looking for her black",with sequins., dress,dress,29.0,0.29,False,1.7858751946471527,1.7858751946471527,61
